,state,customer lifetime value,education,gender,income,monthly premium auto,number of open complaints,policy type,total claim amount,vehicle class,sales channel,response
752,Arizona,6098.462114,Bachelor,F,74257,76,0.0,Personal Auto,214.586742,Four-Door Car,Agent,No
753,Arizona,6899.709949,High School or Below,M,37308,86,0.0,Personal Auto,301.011106,Four-Door Car,Agent,No
754,California,3883.398053,Bachelor,M,0,109,,Personal Auto,765.906271,SUV,Agent,No
755,Oregon,5259.709581,College,M,28447,67,0.0,Personal Auto,321.6,Four-Door Car,Agent,No
756,Arizona,4250.282624,High School or Below,F,0,61,1.0,Personal Auto,292.8,,Agent,Yes
757,Washington,19014.47625,High School or Below,F,29822,61,0.0,Personal Auto,292.8,Two-Door Car,Agent,No
758,California,8658.863813,College,M,62464,109,0.0,Corporate Auto,400.181882,Sports Car,Agent,Yes
759,California,5845.426201,Bachelor,F,43145,73,0.0,Corporate Auto,516.421124,Two-Door Car,Web,No
760,Nevada,2756.472584,High School or Below,M,43540,70,0.0,Corporate Auto,117.585017,Two-Door Car,Call Center,No
761,Nevada,2937.424534,Master,F,83195,73,1.0,Personal Auto,332.693627,,Call Center,No
762,Arizona,5603.73932,High School or Below,F,95284,69,0.0,Personal Auto,327.647322,Four-Door Car,Call Center,No
763,Washington,5384.671725,Bachelor,M,13103,72,0.0,Personal Auto,458.003651,Four-Door Car,Agent,No
764,,8169.746083,College,F,32799,104,0.0,Personal Auto,499.2,SUV,Agent,
765,Arizona,12655.52878,High School or Below,F,26149,157,0.0,Personal Auto,753.6,SUV,Web,No
766,Washington,10025.91827,Bachelor,F,0,141,0.0,Personal Auto,1015.2,SUV,Agent,No
767,California,14435.67365,Master,M,60880,119,0.0,Personal Auto,109.906628,Two-Door Car,Agent,Yes
768,Nevada,2914.955295,Bachelor,F,37803,74,0.0,Personal Auto,355.2,Four-Door Car,Agent,No
769,Nevada,7663.871432,Bachelor,F,0,109,0.0,Personal Auto,523.2,SUV,Call Center,No
770,Arizona,5107.163002,Bachelor,F,35625,65,1.0,Special Auto,288.572108,Four-Door Car,Agent,Yes
771,California,11855.13545,Bachelor,F,0,170,0.0,Corporate Auto,1227.491941,SUV,Web,No
772,California,2491.257604,High School or Below,F,25965,65,0.0,Personal Auto,329.206567,Four-Door Car,Agent,Yes
773,Arizona,5568.947534,High School or Below,M,0,79,1.0,Personal Auto,407.440238,Two-Door Car,Agent,Yes
774,Arizona,4772.943848,High School or Below,M,20993,133,0.0,Personal Auto,638.4,SUV,Agent,Yes
775,Arizona,4624.622593,High School or Below,M,0,68,2.0,Personal Auto,469.278843,Four-Door Car,Call Center,No
776,Arizona,3664.22055,High School or Below,M,0,103,0.0,Personal Auto,642.773149,SUV,Branch,No
777,Arizona,8004.214781,High School or Below,F,54008,67,,Personal Auto,370.503286,Four-Door Car,Branch,No
778,Nevada,3914.719645,High School or Below,M,0,112,0.0,Corporate Auto,587.861936,Sports Car,Call Center,No
779,Oregon,36293.14678,Bachelor,M,18047,242,0.0,Personal Auto,1350.379181,Luxury SUV,Call Center,No
780,California,36860.72688,College,F,66216,103,0.0,Personal Auto,96.723812,Sports Car,Web,No
781,,2337.35182,High School or Below,F,28806,61,0.0,Personal Auto,292.8,Four-Door Car,Call Center,
782,California,9890.210998,Bachelor,M,52408,125,0.0,Personal Auto,179.125777,Sports Car,Agent,No
783,Washington,7320.070571,High School or Below,M,0,112,1.0,Personal Auto,806.4,Two-Door Car,Agent,No
784,Nevada,4863.470811,Bachelor,M,52728,127,1.0,Corporate Auto,609.6,SUV,Branch,No
785,,5181.620895,Master,F,97131,64,,Personal Auto,307.2,Four-Door Car,Agent,
786,Arizona,12913.49818,Master,M,62448,107,0.0,Personal Auto,513.6,,Branch,No
787,Washington,2466.581354,High School or Below,F,0,70,0.0,Special Auto,504.0,Four-Door Car,Branch,No
788,Oregon,8415.684559,Bachelor,M,55308,107,0.0,Corporate Auto,513.6,SUV,Call Center,No
789,California,2150.178588,High School or Below,F,0,61,0.0,Personal Auto,292.8,Four-Door Car,Web,No
790,California,24127.50402,Bachelor,M,14072,71,0.0,Personal Auto,511.2,Four-Door Car,Agent,Yes
791,Oregon,5727.327124,Bachelor,M,99934,71,0.0,Special Auto,460.323855,Four-Door Car,Web,No
792,Oregon,4626.801093,Master,F,79487,114,0.0,Personal Auto,547.2,SUV,Branch,Yes
793,California,5217.513287,Bachelor,F,39854,66,0.0,Corporate Auto,261.930545,Two-Door Car,Web,Yes
794,,7498.824515,Master,F,0,66,0.0,Personal Auto,316.8,Four-Door Car,Agent,
795,California,8717.049833,College,M,83846,74,3.0,Personal Auto,355.2,Four-Door Car,Agent,Yes
796,,5272.703428,High School or Below,F,60260,66,0.0,Corporate Auto,328.366827,Four-Door Car,Web,
797,California,2409.368488,Bachelor,F,0,66,0.0,Personal Auto,316.8,Four-Door Car,Web,No
798,Washington,20708.25881,High School or Below,M,92079,65,1.0,Corporate Auto,114.798771,Four-Door Car,Agent,No
799,California,8564.768226,High School or Below,M,95697,107,0.0,Personal Auto,178.006524,Sports Car,Agent,Yes
800,Arizona,4178.586494,Master,M,62113,104,0.0,Personal Auto,5.894778,SUV,Web,No
801,California,3944.231185,Bachelor,F,33282,100,1.0,Personal Auto,207.510821,SUV,Agent,No
802,Washington,2593.897887,High School or Below,F,0,72,,Personal Auto,345.6,Four-Door Car,Call Center,No
803,California,2578.835541,High School or Below,F,59974,65,0.0,Corporate Auto,127.233139,Four-Door Car,Call Center,No
804,Oregon,8360.14874,High School or Below,M,48521,105,0.0,Personal Auto,263.82569,Sports Car,Branch,No
805,Oregon,14585.37736,High School or Below,F,0,194,0.0,Corporate Auto,931.2,Luxury SUV,Agent,No
806,Oregon,14396.24222,High School or Below,M,0,205,0.0,Personal Auto,1476.0,Luxury Car,Call Center,No
807,California,9100.787395,College,F,38898,117,0.0,Corporate Auto,561.6,SUV,Agent,No
808,Arizona,16938.29858,College,F,0,69,0.0,Corporate Auto,340.780156,Four-Door Car,Branch,No
809,Oregon,5421.018201,High School or Below,M,40376,69,0.0,Personal Auto,427.874055,Four-Door Car,Agent,No
810,Arizona,2342.01381,Bachelor,M,19581,67,0.0,Corporate Auto,321.6,Four-Door Car,Agent,No
811,California,5723.535705,Bachelor,F,77646,71,0.0,Personal Auto,340.8,Four-Door Car,Branch,No
812,Oregon,13681.71178,College,F,55588,114,0.0,Personal Auto,547.2,SUV,Branch,No
813,California,8639.49502,Doctor,F,92374,107,1.0,Personal Auto,220.018279,SUV,Call Center,No
814,,5867.12642,College,F,27880,74,0.0,Personal Auto,199.444294,Four-Door Car,Call Center,
815,California,10179.71704,Bachelor,F,14290,271,0.0,Personal Auto,1300.8,Luxury SUV,Agent,Yes
816,California,20230.9675,High School or Below,M,48448,74,1.0,Corporate Auto,355.2,Four-Door Car,Agent,No
817,Oregon,4267.076892,Bachelor,F,43682,107,0.0,Corporate Auto,148.003496,SUV,Branch,No
818,Oregon,3933.813993,High School or Below,M,25927,103,0.0,Personal Auto,674.973614,SUV,Web,Yes
819,Oregon,5521.542577,College,F,0,77,0.0,Personal Auto,369.6,Four-Door Car,Agent,No
820,Oregon,6612.220871,High School or Below,F,0,97,2.0,Personal Auto,669.399277,Four-Door Car,Web,No
821,Oregon,2913.323811,Master,M,20075,79,1.0,Personal Auto,483.731784,Two-Door Car,Web,No
822,Oregon,7189.106255,Bachelor,F,75838,90,0.0,Corporate Auto,428.907968,Two-Door Car,Agent,No
823,California,2537.969253,Bachelor,F,37612,64,0.0,Personal Auto,307.2,Four-Door Car,Call Center,No
824,Nevada,4170.687348,Master,F,29462,107,1.0,Corporate Auto,513.6,SUV,Branch,Yes
825,Washington,14722.22122,Master,M,43982,126,1.0,Personal Auto,604.8,SUV,Web,No
826,Nevada,24108.30057,Bachelor,F,17257,70,0.0,Personal Auto,551.132139,Four-Door Car,Call Center,No
827,Nevada,2402.81597,Bachelor,M,21629,62,0.0,Corporate Auto,298.626189,Two-Door Car,Call Center,No
828,Oregon,7756.174223,College,F,21326,99,0.0,Personal Auto,632.765462,Four-Door Car,Agent,No
829,Oregon,4250.282624,High School or Below,F,0,61,1.0,Personal Auto,292.8,Four-Door Car,Agent,Yes
830,California,7540.584824,Bachelor,M,29697,64,0.0,Personal Auto,147.128736,Four-Door Car,Agent,No
831,Oregon,8104.503269,Bachelor,F,0,117,1.0,Personal Auto,842.4,Sports Car,Agent,No
832,Arizona,7605.637524,Bachelor,M,55281,192,1.0,Personal Auto,921.6,Luxury SUV,Agent,No
833,California,5313.294035,High School or Below,F,0,77,1.0,Personal Auto,863.3947,Four-Door Car,Agent,No
834,Arizona,15042.57658,Bachelor,F,22799,190,0.0,Corporate Auto,912.0,SUV,Branch,No
835,Oregon,2469.56901,Bachelor,F,55257,64,3.0,Personal Auto,209.596158,Two-Door Car,Agent,No
836,California,4639.035171,Bachelor,M,0,142,0.0,Corporate Auto,1022.4,SUV,Web,No
837,California,2908.020838,College,M,74212,73,0.0,Personal Auto,188.878749,Four-Door Car,Call Center,No
838,Oregon,7685.402943,Bachelor,M,31686,101,2.0,Corporate Auto,710.661746,SUV,Web,No
839,California,3834.210713,High School or Below,M,0,112,0.0,Personal Auto,806.4,SUV,Agent,No
840,California,7074.398104,Bachelor,F,94508,88,0.0,Personal Auto,491.384479,Four-Door Car,Agent,No
841,California,2939.939038,High School or Below,M,97735,73,0.0,Corporate Auto,188.667196,Four-Door Car,Branch,No
842,Oregon,5065.486772,College,M,26733,66,,Personal Auto,218.717113,Four-Door Car,Web,No
843,Arizona,2442.422113,Master,F,57963,61,0.0,Personal Auto,42.160829,Four-Door Car,Web,No
844,Oregon,6503.397049,High School or Below,F,22081,84,0.0,Personal Auto,451.670309,Two-Door Car,Agent,Yes
845,California,9111.75642,Bachelor,F,54751,114,0.0,Personal Auto,721.241935,SUV,Agent,No
846,Oregon,5096.673223,Master,F,22886,65,0.0,Personal Auto,312.0,Four-Door Car,Agent,Yes
847,Arizona,14010.52742,Bachelor,F,36523,71,0.0,Personal Auto,101.353875,Four-Door Car,Web,No
848,Oregon,2155.209879,High School or Below,F,0,70,3.0,Personal Auto,336.0,Four-Door Car,Branch,No
849,Washington,6252.3631,Master,F,92895,77,0.0,Personal Auto,43.14147,Two-Door Car,Call Center,No
850,California,9031.214859,Master,F,0,122,0.0,Personal Auto,650.52179,Sports Car,Branch,Yes
851,Oregon,13197.92893,College,F,0,68,3.0,Personal Auto,326.4,Four-Door Car,Agent,Yes
852,California,5059.325681,Bachelor,F,67371,63,0.0,Personal Auto,86.599774,Four-Door Car,Web,No
853,California,10506.77172,Bachelor,F,0,92,0.0,Personal Auto,546.524896,Four-Door Car,Branch,No
854,Oregon,3304.758268,College,F,23931,95,0.0,Personal Auto,456.0,Four-Door Car,Web,No
855,Arizona,5619.068508,Master,M,50335,140,0.0,Personal Auto,456.52385,SUV,Call Center,No
856,Oregon,2471.077732,High School or Below,F,53074,61,0.0,Personal Auto,268.773368,,Agent,No
857,,5090.44875,Bachelor,F,25226,71,1.0,Personal Auto,340.8,Four-Door Car,Branch,
858,Nevada,5821.128509,Bachelor,F,61108,72,0.0,Personal Auto,23.773332,Four-Door Car,Agent,No
859,,5015.643575,College,F,73809,125,0.0,Special Auto,537.315879,SUV,Branch,
860,California,4974.235309,High School or Below,F,0,70,0.0,Personal Auto,336.0,Four-Door Car,Call Center,No
861,Oregon,12941.73353,High School or Below,M,77060,106,0.0,Personal Auto,468.566133,SUV,Branch,No
862,Arizona,5908.16294,High School or Below,F,86277,74,0.0,Personal Auto,212.039619,Four-Door Car,Agent,No
863,Oregon,7943.513275,Bachelor,M,60214,100,1.0,Corporate Auto,291.287905,Sports Car,Agent,No
864,California,2602.24525,College,M,38166,67,1.0,Corporate Auto,236.842746,Four-Door Car,Agent,No
865,Oregon,4526.126785,Bachelor,M,0,64,1.0,Personal Auto,307.2,Four-Door Car,Branch,No
866,California,5671.927479,High School or Below,F,34974,71,0.0,Special Auto,315.160937,Four-Door Car,Web,No
867,California,10436.57466,Bachelor,F,24177,92,1.0,Personal Auto,441.6,Four-Door Car,Agent,No
868,California,7172.070153,High School or Below,F,73836,182,3.0,Personal Auto,553.385695,Luxury Car,Branch,No
869,Oregon,7081.690974,Master,F,93854,87,0.0,Corporate Auto,417.6,Two-Door Car,Web,No
870,Oregon,4502.207001,College,F,46402,113,0.0,Personal Auto,476.385575,Four-Door Car,Agent,No
871,Oregon,26016.525,High School or Below,F,43922,83,0.0,Personal Auto,40.740297,Four-Door Car,Branch,No
872,Oregon,5214.971007,High School or Below,M,65375,65,0.0,Personal Auto,6.07744,Four-Door Car,Branch,No
873,California,7680.147853,College,M,68229,96,0.0,Corporate Auto,460.8,Four-Door Car,Branch,No
874,Oregon,10827.87278,High School or Below,F,62053,134,0.0,Personal Auto,614.03209,SUV,Web,No
875,Oregon,2854.26694,High School or Below,F,34807,73,,Personal Auto,472.043042,Two-Door Car,Agent,No
876,California,3821.819872,College,F,79189,95,,Corporate Auto,50.171541,Two-Door Car,Branch,No
877,Arizona,4826.831451,Doctor,M,18779,63,0.0,Personal Auto,215.255721,Four-Door Car,Agent,No
878,,3839.143697,Bachelor,F,70146,96,0.0,Personal Auto,157.440069,Four-Door Car,Branch,
879,Oregon,2894.583582,College,F,28204,73,0.0,Personal Auto,486.987555,Four-Door Car,Branch,No
880,Oregon,23740.12142,High School or Below,M,28025,87,0.0,Personal Auto,611.40108,Four-Door Car,Branch,No
881,Oregon,2829.312319,Bachelor,M,25860,72,0.0,Personal Auto,345.6,Four-Door Car,Web,No
882,Arizona,13473.18567,Bachelor,M,25302,70,1.0,Personal Auto,336.0,Four-Door Car,Branch,No
883,Oregon,8170.621997,Bachelor,F,95241,68,1.0,Personal Auto,87.803087,Four-Door Car,Branch,No
884,Arizona,3187.351993,Doctor,M,0,85,0.0,Corporate Auto,595.160486,Two-Door Car,Call Center,No
885,Nevada,9212.613275,High School or Below,M,70958,115,0.0,Personal Auto,115.400119,Sports Car,Agent,No
886,California,5028.739297,College,F,0,67,0.0,Personal Auto,216.196521,Four-Door Car,Web,No
887,California,7684.887717,College,F,62192,98,0.0,Special Auto,243.292609,Two-Door Car,Agent,No
888,Washington,4159.593921,Bachelor,M,0,62,0.0,Personal Auto,446.4,,Agent,No
889,California,4899.977003,Doctor,M,76594,122,1.0,Personal Auto,832.453791,SUV,Agent,No
890,,23207.26972,High School or Below,F,45039,96,0.0,Personal Auto,192.144838,Four-Door Car,Agent,
891,Arizona,6520.824777,Bachelor,F,93721,80,0.0,Personal Auto,489.594642,Four-Door Car,Agent,No
892,Oregon,5497.659883,College,M,28128,70,0.0,Personal Auto,336.0,Two-Door Car,Agent,No
893,California,6466.304259,Master,M,0,90,0.0,Personal Auto,144.776935,Four-Door Car,Call Center,No
894,California,5956.545724,High School or Below,F,48993,74,0.0,Personal Auto,810.461707,Two-Door Car,Call Center,No
895,,5313.294035,High School or Below,F,0,77,1.0,Personal Auto,863.3947,Four-Door Car,Agent,
896,Oregon,9928.986032,Doctor,F,75716,247,0.0,Personal Auto,562.088587,Luxury Car,Branch,No
897,Oregon,7714.650119,High School or Below,M,0,74,0.0,Corporate Auto,532.8,Two-Door Car,Agent,No
898,Arizona,7295.42703,Bachelor,M,26849,62,0.0,Personal Auto,38.309313,Four-Door Car,Agent,No
899,Oregon,6063.19979,College,M,20676,79,0.0,Personal Auto,379.2,Four-Door Car,Agent,No
900,,13295.60284,High School or Below,F,68009,110,0.0,Personal Auto,528.0,SUV,Call Center,
901,Arizona,2580.849899,College,M,46900,66,0.0,Personal Auto,316.8,Four-Door Car,Web,Yes
902,Washington,2497.808174,Bachelor,M,68041,64,0.0,Personal Auto,165.570243,Two-Door Car,Branch,No
903,Oregon,8085.448545,Bachelor,M,61409,68,0.0,Special Auto,264.040157,Four-Door Car,Web,No
904,Oregon,8390.122077,High School or Below,F,0,78,0.0,Personal Auto,732.340362,Four-Door Car,Web,No
905,California,4773.686425,College,M,33701,63,0.0,Personal Auto,171.325856,Four-Door Car,Agent,No
906,,6791.215414,Bachelor,F,0,101,1.0,Corporate Auto,727.2,SUV,Agent,
907,Washington,7116.549068,Bachelor,F,0,66,0.0,Personal Auto,316.8,Four-Door Car,Branch,No
908,,3031.587812,High School or Below,F,27435,76,0.0,Personal Auto,455.545318,Two-Door Car,Branch,
909,,10110.76997,College,M,76276,86,0.0,Corporate Auto,93.309811,Two-Door Car,Web,
910,Nevada,7356.010439,College,M,36812,92,1.0,Personal Auto,392.695097,Two-Door Car,Branch,No
911,Washington,6770.306834,High School or Below,M,74422,85,1.0,Personal Auto,95.338505,Four-Door Car,Call Center,No
912,Nevada,5452.171237,Bachelor,M,88567,67,0.0,Personal Auto,321.6,Four-Door Car,Web,No
913,California,6631.665538,College,M,32918,84,0.0,Personal Auto,403.2,Four-Door Car,Agent,No
914,Washington,7260.833833,High School or Below,M,0,72,,Personal Auto,744.026708,Four-Door Car,Web,No
915,California,8646.504109,High School or Below,F,64125,108,0.0,Personal Auto,369.818708,SUV,Branch,Yes
916,Oregon,4926.282836,Bachelor,F,49185,61,0.0,Corporate Auto,126.950071,Two-Door Car,Branch,No
917,Arizona,4636.54647,College,M,26802,66,1.0,Special Auto,316.8,Two-Door Car,Agent,Yes
918,,6297.002886,Bachelor,M,0,189,1.0,Personal Auto,1823.730828,Luxury Car,Agent,
919,California,2236.085718,Bachelor,F,0,64,3.0,Corporate Auto,307.2,Two-Door Car,Call Center,No
920,Nevada,11981.98481,Master,F,21514,62,0.0,Special Auto,257.248789,Two-Door Car,Agent,Yes
921,,4944.088762,High School or Below,F,53607,61,0.0,Personal Auto,93.891207,Four-Door Car,Web,
922,Washington,13450.95561,High School or Below,F,0,126,,Corporate Auto,907.2,SUV,Agent,No
923,California,6496.197101,Bachelor,M,89285,81,0.0,Personal Auto,109.032565,Four-Door Car,Call Center,No
924,California,6006.963446,College,F,0,80,0.0,Personal Auto,488.910614,Four-Door Car,Web,No
925,Oregon,4334.210791,Bachelor,F,0,116,,Personal Auto,1065.617464,Four-Door Car,Agent,No
926,Arizona,8646.504109,High School or Below,F,64125,108,0.0,Personal Auto,369.818708,SUV,Branch,Yes
927,Arizona,13023.9329,High School or Below,F,64985,108,0.0,Personal Auto,16.425514,Two-Door Car,Web,No
928,Oregon,7804.597655,Bachelor,F,0,117,4.0,Personal Auto,91.055318,Four-Door Car,Branch,No
929,Nevada,10552.16999,Master,M,47761,131,0.0,Personal Auto,232.711071,,Agent,No
930,Oregon,5169.49937,High School or Below,M,12430,73,0.0,Personal Auto,350.4,Four-Door Car,Call Center,Yes
931,,15016.18511,Bachelor,F,70619,187,0.0,Personal Auto,293.948632,Luxury Car,Branch,
932,Nevada,3394.720301,College,F,83431,84,0.0,Personal Auto,403.2,Four-Door Car,Web,No
933,California,6366.225775,High School or Below,M,44368,80,0.0,Personal Auto,384.0,,Call Center,Yes
934,California,19731.34147,Bachelor,F,33588,62,0.0,Corporate Auto,419.921897,Four-Door Car,Agent,No
935,Arizona,7079.790277,College,M,24245,63,0.0,Corporate Auto,302.4,Two-Door Car,Agent,No
936,Oregon,12168.64405,Master,F,0,109,0.0,Special Auto,30.989755,Sports Car,Agent,No
937,Oregon,4726.869327,Bachelor,F,13037,124,0.0,Personal Auto,839.348464,SUV,Agent,Yes
938,California,9448.833931,High School or Below,F,85221,117,0.0,Personal Auto,516.907624,Sports Car,Branch,No
939,California,3883.398053,Bachelor,M,0,109,0.0,Personal Auto,765.906271,SUV,Agent,No
940,California,4526.94696,High School or Below,F,92921,112,0.0,Personal Auto,109.28708,SUV,Call Center,No
941,Oregon,4605.036646,College,F,22571,63,0.0,Corporate Auto,302.4,Four-Door Car,Web,Yes
942,Washington,12741.84754,Bachelor,F,73054,106,1.0,Personal Auto,419.365958,SUV,Branch,Yes
943,,14208.50598,High School or Below,F,0,131,0.0,Corporate Auto,943.2,SUV,Agent,
944,California,5850.451386,Doctor,M,24317,73,1.0,Corporate Auto,350.4,Four-Door Car,Call Center,No
945,Arizona,10787.11572,High School or Below,M,44695,91,0.0,Personal Auto,147.954285,Four-Door Car,Call Center,No
946,Oregon,10396.53186,College,F,34948,130,0.0,Personal Auto,443.786437,SUV,Branch,No
947,Oregon,3580.076125,Bachelor,F,71176,91,2.0,Personal Auto,278.072755,Two-Door Car,Web,No
948,Nevada,3585.884123,Master,M,49080,91,0.0,Corporate Auto,25.299,Four-Door Car,Agent,No
949,,8828.380695,Doctor,M,61246,110,0.0,Personal Auto,159.239518,Sports Car,Branch,
950,Oregon,7255.577594,Doctor,F,39786,91,1.0,Personal Auto,365.835977,,Web,No
951,Oregon,2491.257604,High School or Below,F,25965,65,0.0,Personal Auto,329.206567,Four-Door Car,Agent,Yes
952,Arizona,13583.6249,High School or Below,M,58544,114,0.0,Personal Auto,769.788818,Four-Door Car,Agent,No
953,Arizona,5874.820212,College,F,35301,74,0.0,Personal Auto,128.643975,Four-Door Car,Agent,No
954,Oregon,2550.659053,College,F,69230,63,0.0,Special Auto,283.241868,Four-Door Car,Agent,No
955,California,8704.278179,Bachelor,M,38072,113,1.0,Personal Auto,151.055863,SUV,Branch,No
956,Arizona,7286.789075,High School or Below,M,65870,61,1.0,Personal Auto,202.847644,Four-Door Car,Branch,No
957,Oregon,5293.717318,High School or Below,F,0,74,0.0,Personal Auto,712.126586,Four-Door Car,Agent,No
958,California,12851.42404,High School or Below,F,0,186,0.0,Personal Auto,1339.2,Luxury SUV,Branch,No
959,California,3241.314176,Doctor,F,66889,80,0.0,Personal Auto,294.319428,Four-Door Car,Call Center,No
960,California,3358.660979,High School or Below,F,77309,83,0.0,Personal Auto,596.320943,Two-Door Car,Agent,No
961,Oregon,11177.7521,Bachelor,M,20742,100,0.0,Personal Auto,455.851876,SUV,Web,No
962,Nevada,6793.77405,High School or Below,F,22250,86,0.0,Personal Auto,720.601429,Two-Door Car,Web,No
963,California,8406.763319,College,F,67128,105,0.0,Personal Auto,339.017729,SUV,Agent,No
964,California,4873.672682,Bachelor,F,0,68,0.0,Corporate Auto,356.08323,Four-Door Car,Agent,No
965,Nevada,8509.850887,Master,M,26057,74,0.0,Personal Auto,523.888845,Four-Door Car,Call Center,Yes
966,,2560.691306,High School or Below,M,30027,65,0.0,Personal Auto,312.0,Four-Door Car,Branch,
967,Arizona,8161.1704,College,M,12266,114,1.0,Personal Auto,732.050007,SUV,Branch,No
968,California,12148.94098,High School or Below,F,37025,101,0.0,Corporate Auto,427.243803,SUV,Branch,No
969,California,22110.39804,Bachelor,F,65724,70,,Personal Auto,14.518312,Four-Door Car,Agent,No
970,Arizona,4001.519098,High School or Below,F,19782,108,0.0,Personal Auto,773.470977,Two-Door Car,Web,No
971,Oregon,4883.551402,Bachelor,F,19096,64,0.0,Personal Auto,374.8996,Two-Door Car,Web,No
972,California,6358.251692,High School or Below,M,0,94,2.0,Personal Auto,17.938979,,Agent,No
973,,2632.552578,High School or Below,F,99841,65,0.0,Personal Auto,312.0,Four-Door Car,Branch,
974,,2395.57,Doctor,F,21986,63,0.0,Personal Auto,333.696228,Two-Door Car,Branch,
975,Washington,2869.997625,Bachelor,F,70974,71,0.0,Personal Auto,340.8,Four-Door Car,Agent,No
976,California,25390.54546,High School or Below,F,19359,129,0.0,Personal Auto,928.8,Sports Car,Call Center,No
977,Oregon,7343.52792,College,F,0,72,3.0,Personal Auto,345.6,Four-Door Car,Branch,No
978,Arizona,4344.524462,Bachelor,F,48054,109,,Personal Auto,523.2,SUV,Call Center,No
979,California,5344.989624,Master,M,22908,68,0.0,Personal Auto,387.774781,,Call Center,No
980,Oregon,4744.967459,Doctor,M,20698,68,,Personal Auto,248.422693,Two-Door Car,Branch,No
981,Nevada,2840.302575,Bachelor,M,79181,72,0.0,Personal Auto,241.277426,Four-Door Car,Branch,No
982,Oregon,6104.501453,College,F,18690,80,0.0,Personal Auto,18.192921,,Agent,No
983,Oregon,2805.098562,High School or Below,F,26004,70,0.0,Personal Auto,336.0,Four-Door Car,Web,No
984,Nevada,4838.208972,Bachelor,F,73769,61,2.0,Personal Auto,239.540223,Four-Door Car,Web,No
985,Arizona,2821.947219,College,F,38977,70,0.0,Special Auto,139.489926,Four-Door Car,Agent,No
986,Arizona,2152.081322,Bachelor,M,0,65,0.0,Personal Auto,460.379966,Two-Door Car,Agent,No
987,Oregon,4082.704584,Bachelor,F,23206,107,0.0,Personal Auto,513.6,Sports Car,Call Center,No
988,California,2965.71995,College,F,26472,74,0.0,Personal Auto,355.2,Four-Door Car,Branch,No
989,California,6081.048248,College,F,0,82,0.0,Personal Auto,393.6,Four-Door Car,Web,No
990,Oregon,26843.12452,College,F,36068,97,0.0,Personal Auto,113.367765,Two-Door Car,Branch,No
991,Oregon,5678.050167,Bachelor,F,0,76,0.0,Personal Auto,364.8,Four-Door Car,Agent,Yes
992,Washington,3355.528168,College,F,46644,84,0.0,Personal Auto,150.688024,Four-Door Car,Agent,No
993,Oregon,4376.363592,Bachelor,F,63774,111,0.0,Personal Auto,60.036683,,Agent,Yes
994,Oregon,10972.06778,Doctor,M,24164,137,0.0,Personal Auto,657.6,Sports Car,Agent,Yes
995,Oregon,6677.418103,College,M,0,97,1.0,Personal Auto,251.63901,Two-Door Car,Call Center,No
996,Washington,2624.896858,High School or Below,M,18129,71,0.0,Personal Auto,340.8,Two-Door Car,Call Center,No
997,California,9052.951051,Master,F,10211,119,0.0,Personal Auto,571.2,SUV,Branch,No
998,Oregon,6112.756868,Bachelor,M,63243,77,0.0,Personal Auto,364.240307,Four-Door Car,Call Center,No
999,Oregon,10777.56762,College,M,53437,91,0.0,Personal Auto,436.8,Two-Door Car,Branch,No
1000,Oregon,8489.843197,Bachelor,M,0,130,0.0,Personal Auto,624.0,Sports Car,Agent,No
1001,California,5055.902381,Bachelor,F,88989,63,1.0,Personal Auto,232.745161,Four-Door Car,Call Center,No
1002,Washington,25997.74996,High School or Below,F,62262,72,0.0,Corporate Auto,193.505325,Four-Door Car,Branch,No
1003,Arizona,10839.50749,College,F,26367,139,0.0,Personal Auto,105.991559,SUV,Branch,No
1004,Oregon,6044.020038,High School or Below,F,93715,74,0.0,Personal Auto,532.8,Four-Door Car,Web,No
1005,Oregon,5447.201066,College,F,68815,68,0.0,Personal Auto,114.743385,Four-Door Car,Branch,No
1006,California,2241.108638,High School or Below,F,0,63,0.0,Personal Auto,453.6,Two-Door Car,Call Center,No
1007,California,8061.198798,College,M,57293,102,,Corporate Auto,347.996042,Sports Car,Agent,No
1008,Arizona,12866.89474,High School or Below,M,0,189,0.0,Personal Auto,1415.579302,Luxury Car,Agent,No
1009,California,5479.555081,Master,M,56005,68,1.0,Personal Auto,326.4,Four-Door Car,Branch,Yes
1010,Nevada,9366.816281,High School or Below,M,60613,240,0.0,Personal Auto,1152.0,Luxury Car,Call Center,No
1011,California,3436.134281,Doctor,M,30817,88,0.0,Personal Auto,91.834668,Four-Door Car,Branch,Yes
1012,California,8336.08382,Bachelor,M,0,67,2.0,Personal Auto,445.265108,Two-Door Car,Agent,No
1013,California,13080.78528,College,M,0,124,0.0,Special Auto,595.2,SUV,Web,No
1014,Oregon,12734.21253,Bachelor,M,25023,82,0.0,Corporate Auto,397.139856,Two-Door Car,Branch,No
1015,Nevada,9555.169159,College,F,96269,118,0.0,Personal Auto,58.776508,Four-Door Car,Web,No
1016,Nevada,6488.89559,Bachelor,F,95025,81,0.0,Personal Auto,271.968707,Four-Door Car,Call Center,No
1017,Arizona,8436.350708,Bachelor,F,49182,70,0.0,Personal Auto,165.410515,Two-Door Car,Web,No
1018,,2722.210707,College,F,17576,71,0.0,Personal Auto,398.502948,Four-Door Car,Call Center,
1019,Oregon,2787.501453,College,F,62506,69,,Personal Auto,331.2,Two-Door Car,Branch,No
